Date,Value,Type
6/17/2023,97,O3
6/18/2023,54,O3
6/19/2023,23,O3
6/20/2023,40,O3
6/21/2023,22,O3
6/22/2023,28,O3
6/23/2023,39,O3
6/24/2023,71,O3
6/25/2023,58,O3
6/26/2023,39,O3
6/27/2023,54,O3
6/28/2023,84,O3
6/29/2023,133,O3
6/30/2023,36,O3
7/1/2023,50,O3
7/2/2023,41,O3
7/3/2023,39,O3
7/4/2023,41,O3
7/5/2023,38,O3
7/6/2023,46,O3
7/7/2023,44,O3
7/8/2023,41,O3
7/9/2023,38,O3
7/10/2023,35,O3
7/11/2023,46,O3
7/12/2023,48,O3
7/13/2023,33,O3
7/14/2023,45,O3
7/15/2023,33,O3
7/16/2023,46,O3
7/17/2023,84,O3
7/18/2023,93,O3
7/19/2023,50,O3
7/20/2023,42,O3
7/21/2023,37,O3
7/22/2023,37,O3
7/23/2023,46,O3
7/24/2023,74,O3
7/25/2023,87,O3
7/26/2023,93,O3
7/27/2023,93,O3
7/28/2023,54,O3
7/29/2023,48,O3
7/30/2023,44,O3
7/31/2023,54,O3
2/1/2023,3,CO
2/2/2023,3,CO
2/3/2023,2,CO
2/4/2023,2,CO
2/5/2023,5,CO
2/6/2023,7,CO
2/7/2023,10,CO
2/8/2023,9,CO
2/9/2023,3,CO
2/10/2023,2,CO
2/11/2023,2,CO
2/12/2023,2,CO
2/13/2023,5,CO
2/14/2023,9,CO
2/15/2023,5,CO
2/16/2023,5,CO
2/17/2023,2,CO
2/18/2023,3,CO
2/19/2023,5,CO
2/20/2023,9,CO
2/21/2023,3,CO
2/22/2023,7,CO
2/23/2023,2,CO
2/24/2023,3,CO
2/25/2023,3,CO
2/26/2023,3,CO
2/27/2023,7,CO
2/28/2023,6,CO
3/1/2023,11,CO
3/2/2023,3,CO
3/3/2023,2,CO
3/4/2023,3,CO
3/5/2023,5,CO
3/6/2023,10,CO
3/7/2023,10,CO
3/8/2023,3,CO
3/9/2023,7,CO
3/10/2023,3,CO
3/11/2023,5,CO
3/12/2023,5,CO
3/13/2023,3,CO
3/14/2023,2,CO
3/15/2023,6,CO
3/16/2023,10,CO
3/17/2023,3,CO
3/18/2023,2,CO
3/19/2023,2,CO
3/20/2023,5,CO
3/21/2023,9,CO
3/22/2023,7,CO
3/23/2023,3,CO
3/24/2023,6,CO
3/25/2023,5,CO
3/26/2023,8,CO
3/27/2023,3,CO
3/28/2023,6,CO
3/29/2023,5,CO
3/30/2023,10,CO
3/31/2023,5,CO
4/1/2023,2,CO
4/2/2023,6,CO
4/3/2023,10,CO
4/4/2023,2,CO
4/5/2023,3,CO
4/6/2023,6,CO
4/7/2023,7,CO
4/8/2023,2,CO
4/9/2023,2,CO
4/10/2023,3,CO
4/11/2023,8,CO
4/12/2023,9,CO
4/13/2023,6,CO
4/14/2023,3,CO
4/15/2023,7,CO
4/16/2023,3,CO
4/17/2023,3,CO
4/18/2023,6,CO
4/19/2023,8,CO
4/20/2023,8,CO
4/21/2023,6,CO
4/22/2023,3,CO
4/23/2023,6,CO
4/24/2023,2,CO
4/25/2023,5,CO
4/26/2023,3,CO
4/27/2023,2,CO
4/28/2023,3,CO
4/29/2023,6,CO
4/30/2023,3,CO
5/1/2023,2,CO
5/2/2023,2,CO
5/3/2023,2,CO
5/4/2023,6,CO
5/5/2023,7,CO
5/6/2023,3,CO
5/7/2023,3,CO
5/8/2023,3,CO
5/9/2023,3,CO
5/10/2023,5,CO
5/11/2023,2,CO
5/12/2023,2,CO
5/13/2023,5,CO
5/14/2023,7,CO
5/15/2023,7,CO
5/16/2023,2,CO
5/17/2023,3,CO
5/18/2023,5,CO
5/19/2023,2,CO
5/20/2023,2,CO
5/21/2023,3,CO
5/22/2023,3,CO
5/23/2023,5,CO
5/24/2023,3,CO
5/25/2023,6,CO
5/26/2023,2,CO
5/27/2023,2,CO
5/28/2023,2,CO
5/29/2023,3,CO
5/30/2023,5,CO
5/31/2023,3,CO
6/1/2023,3,CO
6/2/2023,6,CO
6/3/2023,7,CO
6/4/2023,6,CO
6/5/2023,3,CO
6/6/2023,6,CO
6/7/2023,6,CO
6/8/2023,6,CO
6/9/2023,5,CO
6/10/2023,9,CO
6/11/2023,3,CO
6/12/2023,3,CO
6/13/2023,5,CO
6/14/2023,2,CO
6/15/2023,2,CO
6/16/2023,3,CO
6/17/2023,5,CO
6/18/2023,9,CO
6/19/2023,2,CO
6/20/2023,3,CO
6/21/2023,3,CO
6/22/2023,3,CO
6/23/2023,3,CO
6/24/2023,6,CO
6/25/2023,8,CO
6/26/2023,2,CO
6/27/2023,3,CO
6/28/2023,7,CO
6/29/2023,8,CO
6/30/2023,9,CO
7/1/2023,9,CO
7/2/2023,3,CO
7/3/2023,3,CO
7/4/2023,5,CO
7/5/2023,7,CO
7/6/2023,5,CO
7/7/2023,5,CO
7/8/2023,6,CO
7/9/2023,2,CO
7/10/2023,3,CO
7/11/2023,6,CO
7/12/2023,7,CO
7/13/2023,3,CO
